dataset,instance_index,depot,budget_miles,algorithm,collected_prize_excluding_depot,java_raw_prize_including_depot,route_distance_miles,runtime_ms,route,raw_attention_route_distance_miles,repair_applied,feasible_under_java_miles
Capital_Cities.txt,0,"Albany,NY",4000,Attention,749,,3897.914561,8.712053,"Albany,NY -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Springfield,IL -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Columbus,OH -> Lansing,MI -> Trenton,NJ -> Hartford,CT -> Albany,NY",3897.914561,false,true
Capital_Cities.txt,1,"Annapolis,MD",4000,Attention,784,,3921.949597,3.906965,"Annapolis,MD -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Springfield,IL -> JeffersonCity,MO -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Dover,DE -> Annapolis,MD",3921.949597,false,true
Capital_Cities.txt,2,"Atlanta,GA",4000,Attention,694,,3889.375448,3.011227,"Atlanta,GA -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Springfield,IL -> JeffersonCity,MO -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Indianapolis,IN -> Columbia,SC -> Atlanta,GA",3889.375448,false,true
Capital_Cities.txt,3,"Augusta,ME",4000,Attention,722,,3858.807179,3.196955,"Augusta,ME -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Springfield,IL -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Columbus,OH -> Concord,NH -> Augusta,ME",3858.807179,false,true
Capital_Cities.txt,4,"Austin,TX",4000,Attention,494,,3934.429495,2.620220,"Austin,TX -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Denver,CO -> SaltLakeCity,UT -> Phoenix,AZ -> SantaFe,NM -> OklahomaCity,OK -> Austin,TX",3934.429495,false,true
Capital_Cities.txt,5,"BatonRouge,LA",4000,Attention,588,,3985.320318,2.634048,"BatonRouge,LA -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Denver,CO -> SaltLakeCity,UT -> Cheyenne,WY -> OklahomaCity,OK -> Austin,TX -> Jackson,MS -> BatonRouge,LA",3985.320318,false,true
Capital_Cities.txt,6,"Bismarck,ND",4000,Attention,728,,3940.670832,3.230810,"Bismarck,ND -> SaintPaul,MN -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> JeffersonCity,MO -> Jackson,MS -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Indianapolis,IN -> Springfield,IL -> Bismarck,ND",3940.670832,false,true
Capital_Cities.txt,7,"Boise,ID",4000,Attention,485,,3916.649081,2.460003,"Boise,ID -> CarsonCity,NV -> Pierre,SD -> Springfield,IL -> Indianapolis,IN -> JeffersonCity,MO -> Topeka,KS -> Denver,CO -> SaltLakeCity,UT -> Boise,ID",3916.649081,false,true
Capital_Cities.txt,8,"Boston,MA",4000,Attention,962,,3940.969143,3.298044,"Boston,MA -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Springfield,IL -> Columbus,OH -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Annapolis,MD -> Albany,NY -> Concord,NH -> Providence,RI -> Boston,MA",3940.969143,false,true
Capital_Cities.txt,9,"CarsonCity,NV",4000,Attention,425,,3626.810561,2.228975,"CarsonCity,NV -> Boise,ID -> Pierre,SD -> Springfield,IL -> JeffersonCity,MO -> Cheyenne,WY -> SaltLakeCity,UT -> Sacramento,CA -> CarsonCity,NV",3626.810561,false,true
Capital_Cities.txt,10,"Charleston,WV",4000,Attention,855,,3979.574582,3.098011,"Charleston,WV -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Springfield,IL -> JeffersonCity,MO -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Indianapolis,IN -> Columbus,OH -> Charleston,WV",3979.574582,false,true
Capital_Cities.txt,11,"Cheyenne,WY",4000,Attention,612,,3892.753594,2.822876,"Cheyenne,WY -> SaintPaul,MN -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> JeffersonCity,MO -> Jackson,MS -> BatonRouge,LA -> Nashville,TN -> Indianapolis,IN -> Springfield,IL -> Cheyenne,WY",3892.753594,false,true
Capital_Cities.txt,12,"Columbia,SC",4000,Attention,537,,3339.172760,2.742767,"Columbia,SC -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Springfield,IL -> JeffersonCity,MO -> Tallahassee,FL -> Nashville,TN -> Atlanta,GA -> Columbia,SC",4006.354473,true,true
Capital_Cities.txt,13,"Columbus,OH",4000,Attention,927,,3952.407818,3.387213,"Columbus,OH -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> LittleRock,AR -> JeffersonCity,MO -> Springfield,IL -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Annapolis,MD -> Albany,NY -> Dover,DE -> Harrisburg,PA -> Columbus,OH",3952.407818,false,true
Capital_Cities.txt,14,"Concord,NH",4000,Attention,813,,3901.894948,3.245831,"Concord,NH -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Springfield,IL -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Columbus,OH -> Lansing,MI -> Albany,NY -> Concord,NH",3901.894948,false,true
Capital_Cities.txt,15,"Denver,CO",4000,Attention,703,,3956.324359,2.895832,"Denver,CO -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> JeffersonCity,MO -> Jackson,MS -> BatonRouge,LA -> Nashville,TN -> Indianapolis,IN -> Springfield,IL -> Cheyenne,WY -> Denver,CO",3956.324359,false,true
Capital_Cities.txt,16,"DesMoines,IA",4000,Attention,693,,3994.147134,2.840996,"DesMoines,IA -> Madison,WI -> Topeka,KS -> Lincoln,NE -> Denver,CO -> Cheyenne,WY -> SantaFe,NM -> Austin,TX -> OklahomaCity,OK -> BatonRouge,LA -> Jackson,MS -> JeffersonCity,MO -> DesMoines,IA",3994.147134,false,true
