dataset,instance_index,depot,budget_miles,algorithm,collected_prize_excluding_depot,java_raw_prize_including_depot,route_distance_miles,runtime_ms,route
"Capital_Cities.txt",0,"Albany,NY",4000,"Greedy 1",516,716,3981.880973,3.424916,"Albany,NY -> Annapolis,MD -> Cheyenne,WY -> Nashville,TN -> Indianapolis,IN -> Columbus,OH -> Concord,NH -> Albany,NY"
"Capital_Cities.txt",0,"Albany,NY",4000,"Greedy 2",925,1125,3822.697225,1.605417,"Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Columbus,OH -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Lansing,MI -> Harrisburg,PA -> Hartford,CT -> Albany,NY"
"Capital_Cities.txt",0,"Albany,NY",4000,"P-MARL",1010,1210,3676.386707,2509.501375,"Albany,NY -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Harrisburg,PA -> Columbus,OH -> Indianapolis,IN -> Springfield,IL -> JeffersonCity,MO -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Concord,NH -> Augusta,ME -> Boston,MA -> Providence,RI -> Montpelier,VT -> Hartford,CT -> Albany,NY"
"Capital_Cities.txt",1,"Annapolis,MD",4000,"Greedy 1",520,716,3948.333480,0.093583,"Annapolis,MD -> Albany,NY -> Cheyenne,WY -> Nashville,TN -> Indianapolis,IN -> Columbus,OH -> Raleigh,NC -> Richmond,VA -> Annapolis,MD"
"Capital_Cities.txt",1,"Annapolis,MD",4000,"Greedy 2",954,1150,3950.305581,0.349959,"Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Columbus,OH -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Lansing,MI -> Frankfort,KY -> Charleston,WV -> Harrisburg,PA -> Annapolis,MD"
"Capital_Cities.txt",1,"Annapolis,MD",4000,"P-MARL",1050,1246,3855.794337,2393.018375,"Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Hartford,CT -> Columbus,OH -> Lansing,MI -> Springfield,IL -> JeffersonCity,MO -> Indianapolis,IN -> Nashville,TN -> Columbia,SC -> Atlanta,GA -> Raleigh,NC -> Richmond,VA -> Annapolis,MD"
"Capital_Cities.txt",2,"Atlanta,GA",4000,"Greedy 1",389,557,3868.674279,0.081416,"Atlanta,GA -> Albany,NY -> Annapolis,MD -> Cheyenne,WY -> Nashville,TN -> Atlanta,GA"
"Capital_Cities.txt",2,"Atlanta,GA",4000,"Greedy 2",946,1114,3823.146540,0.277334,"Atlanta,GA -> Nashville,TN -> Indianapolis,IN -> Columbus,OH -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Tallahassee,FL -> Montgomery,AL -> Atlanta,GA"
"Capital_Cities.txt",2,"Atlanta,GA",4000,"P-MARL",1041,1209,3946.627732,2390.149500,"Atlanta,GA -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Hartford,CT -> Columbus,OH -> Indianapolis,IN -> Springfield,IL -> JeffersonCity,MO -> Nashville,TN -> Jackson,MS -> BatonRouge,LA -> Tallahassee,FL -> Atlanta,GA"
"Capital_Cities.txt",3,"Augusta,ME",4000,"Greedy 1",521,669,3911.801203,0.057708,"Augusta,ME -> Albany,NY -> Annapolis,MD -> Cheyenne,WY -> Indianapolis,IN -> Columbus,OH -> Concord,NH -> Augusta,ME"
"Capital_Cities.txt",3,"Augusta,ME",4000,"Greedy 2",939,1087,3960.654707,0.246333,"Augusta,ME -> Concord,NH -> Albany,NY -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Providence,RI -> Boston,MA -> Columbus,OH -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Lansing,MI -> Montpelier,VT -> Augusta,ME"
"Capital_Cities.txt",3,"Augusta,ME",4000,"P-MARL",1071,1219,3988.896285,2365.413000,"Augusta,ME -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Richmond,VA -> Raleigh,NC -> Columbia,SC -> Atlanta,GA -> Nashville,TN -> Indianapolis,IN -> Springfield,IL -> JeffersonCity,MO -> Columbus,OH -> Lansing,MI -> Providence,RI -> Boston,MA -> Albany,NY -> Concord,NH -> Augusta,ME"
"Capital_Cities.txt",4,"Austin,TX",4000,"Greedy 1",469,599,3752.171572,0.050500,"Austin,TX -> Albany,NY -> Annapolis,MD -> Nashville,TN -> Indianapolis,IN -> OklahomaCity,OK -> Austin,TX"
"Capital_Cities.txt",4,"Austin,TX",4000,"Greedy 2",818,948,3994.837833,0.131125,"Austin,TX -> OklahomaCity,OK -> JeffersonCity,MO -> Springfield,IL -> Indianapolis,IN -> Columbus,OH -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Charleston,WV -> Austin,TX"
"Capital_Cities.txt",4,"Austin,TX",4000,"P-MARL",788,918,3911.753794,2058.711333,"Austin,TX -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Tallahassee,FL -> Montgomery,AL -> Jackson,MS -> BatonRouge,LA -> LittleRock,AR -> Topeka,KS -> Lincoln,NE -> DesMoines,IA -> JeffersonCity,MO -> OklahomaCity,OK -> Austin,TX"
"Capital_Cities.txt",5,"BatonRouge,LA",4000,"Greedy 1",540,640,3709.641459,0.054667,"BatonRouge,LA -> Albany,NY -> Annapolis,MD -> Nashville,TN -> Indianapolis,IN -> OklahomaCity,OK -> Jackson,MS -> BatonRouge,LA"
"Capital_Cities.txt",5,"BatonRouge,LA",4000,"Greedy 2",1134,1234,3798.125872,0.154291,"BatonRouge,LA -> Jackson,MS -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Columbus,OH -> Indianapolis,IN -> Springfield,IL -> JeffersonCity,MO -> LittleRock,AR -> BatonRouge,LA"
"Capital_Cities.txt",5,"BatonRouge,LA",4000,"P-MARL",1170,1270,3790.449777,2275.760709,"BatonRouge,LA -> Jackson,MS -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Providence,RI -> Boston,MA -> Concord,NH -> Augusta,ME -> Columbus,OH -> Indianapolis,IN -> Springfield,IL -> JeffersonCity,MO -> LittleRock,AR -> BatonRouge,LA"
"Capital_Cities.txt",6,"Bismarck,ND",4000,"Greedy 1",408,494,3798.422157,0.038666,"Bismarck,ND -> Albany,NY -> Annapolis,MD -> Cheyenne,WY -> Denver,CO -> Pierre,SD -> Bismarck,ND"
"Capital_Cities.txt",6,"Bismarck,ND",4000,"Greedy 2",875,961,3897.514718,0.126417,"Bismarck,ND -> Pierre,SD -> Cheyenne,WY -> Denver,CO -> SantaFe,NM -> OklahomaCity,OK -> JeffersonCity,MO -> Springfield,IL -> Indianapolis,IN -> Columbus,OH -> Nashville,TN -> Frankfort,KY -> Lansing,MI -> Madison,WI -> SaintPaul,MN -> Bismarck,ND"
"Capital_Cities.txt",6,"Bismarck,ND",4000,"P-MARL",775,861,3866.539865,2223.446000,"Bismarck,ND -> Indianapolis,IN -> Columbus,OH -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Boston,MA -> Providence,RI -> Augusta,ME -> Montpelier,VT -> Lansing,MI -> Madison,WI -> SaintPaul,MN -> Pierre,SD -> Bismarck,ND"
"Capital_Cities.txt",7,"Boise,ID",4000,"Greedy 1",369,443,3806.862682,0.038208,"Boise,ID -> Cheyenne,WY -> Nashville,TN -> Helena,MT -> SaltLakeCity,UT -> Boise,ID"
"Capital_Cities.txt",7,"Boise,ID",4000,"Greedy 2",783,857,3937.131585,0.091917,"Boise,ID -> Helena,MT -> SaltLakeCity,UT -> Cheyenne,WY -> Denver,CO -> SantaFe,NM -> OklahomaCity,OK -> JeffersonCity,MO -> Springfield,IL -> DesMoines,IA -> Lincoln,NE -> Pierre,SD -> Boise,ID"
"Capital_Cities.txt",7,"Boise,ID",4000,"P-MARL",827,901,3967.370614,1612.669125,"Boise,ID -> SaltLakeCity,UT -> Cheyenne,WY -> Denver,CO -> SantaFe,NM -> OklahomaCity,OK -> Topeka,KS -> Lincoln,NE -> DesMoines,IA -> JeffersonCity,MO -> Springfield,IL -> Pierre,SD -> Helena,MT -> Boise,ID"
