dataset,instance_index,depot,budget_miles,algorithm,collected_prize_excluding_depot,java_raw_prize_including_depot,route_distance_miles,runtime_ms,route,raw_attention_route_distance_miles,repair_applied,feasible_under_java_miles
Capital_Cities.txt,0,"Albany,NY",4000,Attention,749.0,,3897.914561,8.712053,"Albany,NY -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Springfield,IL -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Columbus,OH -> Lansing,MI -> Trenton,NJ -> Hartford,CT -> Albany,NY",3897.914561,false,true
Capital_Cities.txt,0,"Albany,NY",4000,P-MARL,1010.0,1210,3676.386707,2509.501375,"Albany,NY -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Harrisburg,PA -> Columbus,OH -> Indianapolis,IN -> Springfield,IL -> JeffersonCity,MO -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Concord,NH -> Augusta,ME -> Boston,MA -> Providence,RI -> Montpelier,VT -> Hartford,CT -> Albany,NY",,,
Capital_Cities.txt,0,"Albany,NY",4000,Greedy 2,925.0,1125,3822.697225,1.605417,"Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Columbus,OH -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Lansing,MI -> Harrisburg,PA -> Hartford,CT -> Albany,NY",,,
Capital_Cities.txt,0,"Albany,NY",4000,Greedy 1,516.0,716,3981.880973,3.424916,"Albany,NY -> Annapolis,MD -> Cheyenne,WY -> Nashville,TN -> Indianapolis,IN -> Columbus,OH -> Concord,NH -> Albany,NY",,,
Capital_Cities.txt,1,"Annapolis,MD",4000,Attention,784.0,,3921.949597,3.906965,"Annapolis,MD -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Springfield,IL -> JeffersonCity,MO -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Dover,DE -> Annapolis,MD",3921.949597,false,true
Capital_Cities.txt,1,"Annapolis,MD",4000,P-MARL,1050.0,1246,3855.794337,2393.018375,"Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Hartford,CT -> Columbus,OH -> Lansing,MI -> Springfield,IL -> JeffersonCity,MO -> Indianapolis,IN -> Nashville,TN -> Columbia,SC -> Atlanta,GA -> Raleigh,NC -> Richmond,VA -> Annapolis,MD",,,
Capital_Cities.txt,1,"Annapolis,MD",4000,Greedy 2,954.0,1150,3950.305581,0.349959,"Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Columbus,OH -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Lansing,MI -> Frankfort,KY -> Charleston,WV -> Harrisburg,PA -> Annapolis,MD",,,
Capital_Cities.txt,1,"Annapolis,MD",4000,Greedy 1,520.0,716,3948.33348,0.093583,"Annapolis,MD -> Albany,NY -> Cheyenne,WY -> Nashville,TN -> Indianapolis,IN -> Columbus,OH -> Raleigh,NC -> Richmond,VA -> Annapolis,MD",,,
Capital_Cities.txt,2,"Atlanta,GA",4000,Attention,694.0,,3889.375448,3.011227,"Atlanta,GA -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Springfield,IL -> JeffersonCity,MO -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Indianapolis,IN -> Columbia,SC -> Atlanta,GA",3889.375448,false,true
Capital_Cities.txt,2,"Atlanta,GA",4000,P-MARL,1041.0,1209,3946.627732,2390.1495,"Atlanta,GA -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Hartford,CT -> Columbus,OH -> Indianapolis,IN -> Springfield,IL -> JeffersonCity,MO -> Nashville,TN -> Jackson,MS -> BatonRouge,LA -> Tallahassee,FL -> Atlanta,GA",,,
Capital_Cities.txt,2,"Atlanta,GA",4000,Greedy 2,946.0,1114,3823.14654,0.277334,"Atlanta,GA -> Nashville,TN -> Indianapolis,IN -> Columbus,OH -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Tallahassee,FL -> Montgomery,AL -> Atlanta,GA",,,
Capital_Cities.txt,2,"Atlanta,GA",4000,Greedy 1,389.0,557,3868.674279,0.081416,"Atlanta,GA -> Albany,NY -> Annapolis,MD -> Cheyenne,WY -> Nashville,TN -> Atlanta,GA",,,
Capital_Cities.txt,3,"Augusta,ME",4000,Attention,722.0,,3858.807179,3.196955,"Augusta,ME -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Springfield,IL -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Columbus,OH -> Concord,NH -> Augusta,ME",3858.807179,false,true
Capital_Cities.txt,3,"Augusta,ME",4000,P-MARL,1071.0,1219,3988.896285,2365.413,"Augusta,ME -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Richmond,VA -> Raleigh,NC -> Columbia,SC -> Atlanta,GA -> Nashville,TN -> Indianapolis,IN -> Springfield,IL -> JeffersonCity,MO -> Columbus,OH -> Lansing,MI -> Providence,RI -> Boston,MA -> Albany,NY -> Concord,NH -> Augusta,ME",,,
Capital_Cities.txt,3,"Augusta,ME",4000,Greedy 2,939.0,1087,3960.654707,0.246333,"Augusta,ME -> Concord,NH -> Albany,NY -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Providence,RI -> Boston,MA -> Columbus,OH -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Lansing,MI -> Montpelier,VT -> Augusta,ME",,,
Capital_Cities.txt,3,"Augusta,ME",4000,Greedy 1,521.0,669,3911.801203,0.057708,"Augusta,ME -> Albany,NY -> Annapolis,MD -> Cheyenne,WY -> Indianapolis,IN -> Columbus,OH -> Concord,NH -> Augusta,ME",,,
Capital_Cities.txt,4,"Austin,TX",4000,Attention,494.0,,3934.429495,2.62022,"Austin,TX -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Denver,CO -> SaltLakeCity,UT -> Phoenix,AZ -> SantaFe,NM -> OklahomaCity,OK -> Austin,TX",3934.429495,false,true
