budget_miles,algorithm,n,mean_prize,std_prize,mean_distance_miles,std_distance_miles,mean_runtime_ms,std_runtime_ms
4000,Attention,20,711.7,149.817,3883.134,148.652,3.297,1.329
4000,P-MARL,20,966.85,166.463,3875.008,119.587,2282.617,337.088
4000,Greedy 2,20,947.2,134.124,3913.104,62.191,0.217,0.334
4000,Greedy 1,20,475.9,82.552,3879.042,119.7,0.219,0.755
6000,Attention,20,1029.3,202.58,5853.504,192.921,3.613,0.45
6000,P-MARL,20,1365.0,163.211,5860.7,170.722,3356.677,301.871
6000,Greedy 2,20,1384.65,98.848,5955.069,65.478,0.101,0.02
6000,Greedy 1,20,729.3,115.264,5911.382,94.04,0.036,0.006
8000,Attention,20,1381.2,175.439,7857.339,167.337,4.423,0.465
8000,P-MARL,20,1729.6,151.979,7851.186,127.393,4103.679,160.645
8000,Greedy 2,20,1724.0,83.652,7874.196,123.33,0.106,0.015
8000,Greedy 1,20,746.5,66.634,7928.681,61.076,0.032,0.004
10000,Attention,20,1683.7,135.952,9871.913,109.943,5.329,0.454
10000,P-MARL,20,2038.35,152.234,9816.417,162.93,4692.915,128.116
10000,Greedy 2,20,2046.45,78.94,9882.123,135.192,0.113,0.009
10000,Greedy 1,20,970.2,125.547,9912.571,94.721,0.033,0.006
